"fecha","total_archivos"
"2023-01-04",3
"2023-01-06",4
"2023-01-12",10
"2023-01-13",11
"2023-01-17",2
"2023-01-18",6
"2023-01-19",2
"2023-01-20",17
"2023-01-25",1
"2023-01-26",15
"2023-01-30",1
"2023-01-31",1
"2023-02-01",7
"2023-02-02",4
"2023-02-08",5
"2023-02-10",1
"2023-02-13",9
"2023-02-14",5
"2023-02-15",23
"2023-02-16",3
"2023-02-22",2
"2023-02-23",1
"2023-02-27",4
"2023-02-28",10
"2023-03-29",1
"2023-03-30",6
"2023-03-31",13
"2023-04-03",5
"2023-04-04",15
"2023-04-05",8
"2023-04-06",7
"2023-04-10",3
"2023-04-11",7
"2023-04-12",2
"2023-04-13",2
"2023-04-14",5
"2023-04-15",20
"2023-04-17",10
"2023-04-18",6
"2023-04-19",4
"2023-04-20",2
"2023-04-21",1
"2023-04-24",16
"2023-04-26",1
"2023-04-27",20
"2023-04-28",40
"2023-05-04",22
"2023-05-05",4
"2023-05-08",5
"2023-05-09",6
"2023-05-10",18
"2023-05-11",25
"2023-05-12",44
"2023-05-13",1
"2023-05-15",10
"2023-05-16",6
"2023-05-17",3
"2023-05-18",7
"2023-05-19",3
"2023-05-22",5
"2023-05-23",8
"2023-05-24",8
"2023-05-25",4
"2023-05-26",1
"2023-05-29",5
"2023-05-30",2
"2023-05-31",5
"2023-06-01",5
"2023-06-02",9
"2023-06-05",6
"2023-06-06",6
"2023-06-07",60
"2023-06-09",30
"2023-06-12",1
"2023-06-13",14
"2023-06-14",6
"2023-06-15",9
"2023-06-15",0
"2023-06-17",2
"2023-06-19",3
"2023-06-20",17
"2023-06-22",11
"2023-06-23",9
"2023-06-26",6
"2023-06-27",8
"2023-06-28",6
"2023-06-29",5
"2023-06-30",3
"2023-07-04",8
"2023-07-05",8
"2023-07-06",7
"2023-07-07",1
"2023-07-10",3
"2023-07-11",3
"2023-07-12",3
"2023-07-13",1
"2023-07-14",7
"2023-07-17",1
"2023-07-18",12
"2023-07-19",9
"2023-07-20",5
"2023-07-21",6
"2023-07-24",8
"2023-07-25",1
"2023-07-27",1
"2023-07-31",1
"2023-08-01",1
"2023-08-02",2
"2023-08-08",6
"2023-08-09",6
"2023-08-10",1
"2023-08-11",5
"2023-08-14",2
"2023-08-15",6
"2023-08-16",3
"2023-08-17",6
"2023-08-18",1
"2023-08-21",1
"2023-08-22",3
"2023-08-23",3
"2023-08-24",7
"2023-08-25",3
"2023-08-28",6
"2023-08-29",3
"2023-08-30",9
"2023-08-31",3
"2023-09-01",7
"2023-09-05",7
"2023-09-06",14
"2023-09-08",9
"2023-09-11",2
"2023-09-12",13
"2023-09-13",10
"2023-09-14",7
"2023-09-15",5
"2023-09-18",6
"2023-09-19",14
"2023-09-20",14
"2023-09-21",1
"2023-09-22",2
"2023-09-23",9
"2023-09-26",7
"2023-09-27",5
"2023-09-28",5
"2023-10-02",1
"2023-10-04",6
"2023-10-05",2
"2023-10-09",3
"2023-10-11",4
"2023-10-12",4
"2023-10-13",4
"2023-10-16",1
"2023-10-19",1
"2023-10-21",1
"2023-10-23",3
"2023-10-24",4
"2023-10-25",1
"2023-10-26",2
"2023-10-27",3
"2023-10-30",9
"2023-10-31",5
"2023-11-01",6
"2023-11-03",8
"2023-11-06",4
"2023-11-07",15
"2023-11-08",61
"2023-11-09",4
"2023-11-10",19
"2023-11-13",6
"2023-11-14",10
"2023-11-15",3
"2023-11-16",6
"2023-11-17",2
"2023-11-20",3
"2023-11-21",6
"2023-11-23",3
"2023-11-24",10
"2023-11-29",1
"2023-11-30",2
"2023-12-01",1
"2023-12-04",1
"2023-12-05",3
"2023-12-06",11
"2023-12-07",5
"2023-12-08",2
"2023-12-14",6
"2023-12-15",9
"2023-12-18",17
"2023-12-20",8
"2023-12-21",13
"2023-12-22",5
"2023-12-27",1
"2023-12-28",1
"2023-12-29",9
"2024-01-02",1
"2024-01-03",1
"2024-01-04",3
"2024-01-05",2
"2024-01-09",1
"2024-01-17",1
"2024-01-26",1
"2024-01-29",6
"2024-01-31",6
"2024-02-05",1
"2024-02-06",11
"2024-02-07",9
"2024-02-08",2
"2024-02-09",8
"2024-02-14",9
"2024-02-15",6
"2024-02-16",3
"2024-02-20",2
"2024-02-21",13
"2024-02-22",8
"2024-02-26",6
"2024-02-27",1
"2024-02-29",3
"2024-03-01",16
